arming;age;race;state
dangerous;50;W;CA
unarmed;19;B;TN
neutral;24;H;TX
harmful;22;W;CO
dangerous;46;W;AZ
dangerous;65;W;KS
unarmed;43;B;OH
dangerous;35;W;TX
unarmed;47;W;GA
dangerous;24;W;FL
dangerous;35;W;GA
dangerous;25;H;WI
harmful;26;B;OK
dangerous;27;B;PA
dangerous;34;B;OH
unarmed;31;W;MN
dangerous;32;W;SC
harmless;47;W;WY
dangerous;44;W;CA
dangerous;44;W;CA
harmful;30;W;NC
neutral;60;W;LA
dangerous;50;W;GA
harmless;36;B;NV
dangerous;59;B;FL
dangerous;33;B;LA
neutral;19;W;SC
harmful;56;W;SC
harmless;45;W;LA
harmful;22;W;CO
dangerous;34;H;NM
dangerous;53;W;UT
dangerous;48;W;NV
dangerous;25;W;CA
dangerous;30;H;TX
harmless;47;H;CA
dangerous;33;H;NM
dangerous;34;W;NM
dangerous;29;H;AZ
neutral;63;W;TX
dangerous;49;B;CA
dangerous;18;W;PA
dangerous;71;W;VA
harmless;35;W;IN
neutral;55;H;CA
dangerous;31;B;IL
harmful;18;W;KY
harmful;51;W;WI
dangerous;39;B;HI
dangerous;20;B;VA
harmful;29;W;TN
dangerous;40;W;WA
harmful;42;H;KY
dangerous;22;B;TX
unarmed;19;B;TX
harmful;24;H;NV
harmless;30;W;CA
neutral;53;W;MT
dangerous;25;B;NC
harmful;28;B;CA
dangerous;24;B;SC
dangerous;59;W;NC
dangerous;46;W;WA
neutral;15;B;IN
dangerous;41;W;OK
harmful;22;H;CA
neutral;24;W;AZ
dangerous;34;W;ID
harmful;48;W;TX
dangerous;24;W;TX
dangerous;27;B;CA
harmful;30;B;CA
dangerous;27;H;CA
dangerous;27;B;OH
dangerous;49;W;NM
dangerous;38;B;NY
dangerous;26;H;TX
unarmed;30;B;MD
harmful;53;W;CT
unarmed;43;W;IN
dangerous;23;B;CA
unarmed;34;B;CA
dangerous;30;W;NV
dangerous;29;H;CA
dangerous;47;W;TX
dangerous;35;B;TX
unarmed;40;H;CA
dangerous;18;B;MO
dangerous;24;B;MI
dangerous;29;W;WA
dangerous;44;W;NC
dangerous;19;W;OH
unarmed;50;W;AL
dangerous;17;H;CA
dangerous;57;W;WA
neutral;30;W;MD
harmful;38;W;NC
dangerous;31;W;MN
dangerous;39;B;NY
harmful;29;W;CA
neutral;26;W;KS
harmful;64;W;VA
dangerous;36;W;FL
dangerous;36;W;AL
harmless;21;W;NJ
dangerous;53;B;NC
dangerous;57;W;NV
dangerous;30;H;NM
harmful;34;B;PA
dangerous;53;W;FL
dangerous;45;W;AZ
dangerous;22;H;FL
harmless;22;W;TN
dangerous;46;W;TN
dangerous;27;W;UT
harmful;42;B;TX
harmless;30;B;CA
harmful;54;W;CA
harmless;29;H;CA
neutral;41;H;TX
dangerous;28;W;UT
unarmed;61;B;NY
dangerous;23;W;TX
dangerous;25;B;NV
unarmed;29;H;IL
dangerous;20;W;OK
dangerous;40;H;AZ
harmful;45;W;CO
dangerous;33;B;WV
dangerous;76;W;OH
dangerous;47;W;NM
dangerous;45;W;AZ
unarmed;40;H;CA
dangerous;37;W;SD
harmful;49;H;IN
dangerous;27;W;CA
dangerous;36;W;TX
harmful;23;W;NH
harmless;21;B;NC
harmful;32;H;CA
dangerous;35;B;VA
unarmed;28;B;VA
dangerous;59;H;FL
dangerous;28;B;LA
dangerous;45;W;NM
harmful;45;H;CA
dangerous;19;N;AK
dangerous;25;W;WI
dangerous;37;B;MO
dangerous;33;N;AK
harmful;59;A;CA
harmful;31;A;NY
dangerous;29;B;IN
dangerous;32;W;CA
dangerous;41;H;CA
dangerous;31;W;PA
dangerous;44;W;CO
neutral;23;W;AL
dangerous;45;W;TN
dangerous;39;W;IA
dangerous;67;B;OK
dangerous;29;W;TX
dangerous;25;B;KY
unarmed;28;W;CA
harmless;21;B;LA
dangerous;32;H;CA
dangerous;51;H;FL
dangerous;39;H;CA
dangerous;27;B;LA
dangerous;31;W;SD
dangerous;50;W;MI
neutral;32;W;CA
neutral;47;W;TN
dangerous;46;W;LA
dangerous;57;W;AL
dangerous;23;W;VA
dangerous;56;W;IN
dangerous;24;H;TX
dangerous;27;W;CA
dangerous;23;W;CA
unarmed;21;W;TX
dangerous;26;W;FL
harmless;34;H;FL
dangerous;32;B;CA
dangerous;33;W;FL
dangerous;55;W;CA
harmful;48;O;UT
dangerous;35;W;TX
unarmed;19;B;MD
dangerous;45;W;VA
dangerous;28;B;DE
harmful;42;H;FL
dangerous;17;W;CO
harmless;30;O;MN
unarmed;21;W;OH
harmful;33;B;IL
dangerous;45;W;AZ
harmful;46;B;LA
dangerous;23;H;NM
harmful;37;H;CA
dangerous;43;W;GA
dangerous;40;H;TX
unarmed;31;B;FL
harmless;59;H;CA
neutral;46;N;SD
unarmed;37;W;MN
dangerous;28;B;WV
dangerous;28;H;AZ
harmful;26;H;CA
harmful;55;W;OR
unarmed;29;W;TX
dangerous;27;W;AL
dangerous;31;B;IL
dangerous;51;W;TX
dangerous;50;W;NJ
unarmed;27;O;OH
dangerous;18;B;OK
harmful;46;H;FL
harmful;19;B;MD
neutral;49;W;MA
dangerous;31;W;CT
neutral;38;W;CA
dangerous;40;W;MI
harmless;35;H;IL
neutral;34;H;CA
dangerous;44;A;LA
dangerous;23;B;SC
harmful;43;H;TX
dangerous;31;W;MS
dangerous;27;W;GA
dangerous;46;W;FL
neutral;18;H;CA
dangerous;57;B;AL
dangerous;15;H;FL
dangerous;25;B;OH
dangerous;50;W;NV
harmless;31;W;OH
dangerous;35;W;WA
dangerous;27;H;CA
dangerous;20;B;TX
unarmed;27;H;CA
neutral;33;B;MS
harmless;22;H;CA
harmful;28;B;PA
dangerous;31;B;FL
harmful;28;W;CA
neutral;53;B;CA
harmless;30;W;KY
harmless;39;B;CA
dangerous;40;H;NM
harmful;30;W;LA
dangerous;21;W;IA
harmful;35;H;CA
unarmed;21;H;CA
dangerous;47;W;MI
harmful;38;B;LA
dangerous;36;B;CA
neutral;53;W;KY
dangerous;34;H;CA
dangerous;34;B;FL
neutral;30;B;CA
dangerous;28;W;OH
dangerous;47;W;WI
neutral;49;W;AK
dangerous;36;W;GA
neutral;45;B;MD
dangerous;21;B;DC
unarmed;18;O;FL
dangerous;25;B;GA
unarmed;29;B;CA
dangerous;57;W;MS
dangerous;34;B;FL
dangerous;35;W;OR
dangerous;18;W;TN
dangerous;62;W;KY
dangerous;29;H;TX
dangerous;25;B;TX
harmful;30;W;OK
dangerous;33;W;CO
unarmed;56;B;AL
dangerous;49;W;MN
dangerous;20;W;CA
dangerous;62;W;ID
dangerous;62;B;DC
unarmed;6;W;LA
dangerous;30;W;MO
dangerous;57;B;TX
harmful;18;O;CA
unarmed;47;W;CA
dangerous;48;W;WV
dangerous;20;W;OK
harmful;30;W;MO
dangerous;36;W;SC
dangerous;51;W;OR
neutral;55;W;NV
neutral;48;W;NC
neutral;20;B;SC
dangerous;25;H;TX
dangerous;26;W;WV
dangerous;45;H;CA
dangerous;35;H;CA
harmless;63;W;CO
dangerous;34;H;CA
neutral;36;H;CO
dangerous;22;W;MT
neutral;31;H;NM
dangerous;25;H;CA
dangerous;57;W;SC
dangerous;32;B;MD
harmful;42;B;CA
harmless;52;W;TN
neutral;25;H;CA
dangerous;25;W;GA
harmful;31;H;CA
harmless;39;B;CA
harmful;32;W;NC
harmless;16;B;PA
unarmed;24;B;MN
neutral;28;W;TX
neutral;25;W;GA
dangerous;41;W;TX
dangerous;28;B;FL
dangerous;21;B;SC
neutral;30;B;TX
unarmed;58;W;GA
dangerous;47;W;NJ
harmless;25;B;FL
dangerous;44;B;MI
dangerous;34;B;FL
harmful;27;B;FL
harmful;34;B;DC
dangerous;39;W;GA
unarmed;29;B;CA
unarmed;24;W;OK
harmful;47;W;CA
dangerous;45;W;NV
dangerous;28;H;CO
harmful;49;H;TX
dangerous;50;W;OH
harmless;45;W;MN
harmless;32;W;NV
dangerous;24;B;NJ
harmful;23;W;MO
dangerous;52;W;AZ
dangerous;37;W;MO
unarmed;26;W;CA
dangerous;58;W;MO
harmful;50;W;TX
dangerous;22;W;OH
dangerous;53;W;MO
dangerous;69;H;AZ
dangerous;23;H;CA
dangerous;29;W;NE
neutral;25;A;CO
dangerous;18;B;GA
neutral;31;H;TX
dangerous;23;W;ME
dangerous;18;H;CA
dangerous;35;H;CO
dangerous;27;O;CA
dangerous;28;O;CA
harmful;26;B;CA
dangerous;32;H;TX
dangerous;36;H;NM
dangerous;66;W;NE
harmless;47;W;AZ
dangerous;21;B;PA
dangerous;24;W;TX
harmful;51;W;FL
dangerous;60;W;WI
dangerous;61;W;MO
dangerous;38;H;CA
dangerous;35;W;WA
dangerous;46;B;OH
harmful;48;W;WY
unarmed;36;B;NY
dangerous;33;B;OH
dangerous;66;W;KY
dangerous;34;W;IN
dangerous;55;B;SC
harmful;54;W;CA
unarmed;36;W;AZ
harmful;25;B;IN
dangerous;24;B;TN
dangerous;28;B;CA
harmful;36;W;OK
dangerous;20;W;PA
harmful;49;H;CA
dangerous;51;W;TX
harmful;21;W;TX
